"Relative Time","Hits"
"00:00","0.5"
"00:02","0"
"00:04","0"
"00:06","5.5"
"00:08","0"
"00:10","1"
"00:12","7.5"
"00:14","0.5"
"00:16","8"
"00:18","0"
"00:20","0.5"
"00:22","7.5"
"00:24","0"
"00:26","3.5"
"00:28","0"
"00:30","0"
"00:32","6"
"00:34","0"
"00:36","6"
"00:38","0"
"00:40","0"
"00:42","6"
"00:44","0.5"
"00:46","5.5"
"00:48","0.5"
"00:50","0.5"
"00:52","0"
"00:54","1"
"00:56","0.5"
"00:58","0.5"
"01:00","1"
"01:02","0"
"01:04","0.5"
"01:06","0.5"
"01:08","0"
"01:10","0.5"
"01:12","0"
"01:14","0"
"01:16","0"
"01:18","0"
"01:20","0"
"01:22","0"
"01:24","0"
"01:26","0"
"01:28","1.5"
"01:30","0"
"01:32","0"
"01:34","1.5"
"01:36","0"
"01:38","1.5"
"01:40","0"
"01:42","1.5"
"01:44","0"
